Categoria;Ventas;SubTotal;Impuestos;Total;SubTotal Coste;Beneficio
"BOCADILLOS CALIENTES";"822";"4593,82";"459,38";"5053,2";"0";"4593,82";
"CERVEZA";"2132";"4036,32";"403,63";"4439,95";"0";"4036,32";
"CAFÉ";"2628";"3683,91";"368,39";"4052,3";"0";"3683,91";
"OFERTAS Y MENU";"753";"3036,82";"303,68";"3340,5";"0";"3036,82";
"TAPAS";"431";"2495,36";"249,54";"2744,9";"0";"2495,36";
"REFRESCOS";"1253";"2309,82";"230,98";"2540,8";"0";"2309,82";
"PLATOS COMBINADOS";"229";"2251,82";"225,18";"2477";"0";"2251,82";
"VINOS Y CAVAS";"269";"762,09";"76,21";"838,3";"0";"762,09";
"BOCADILLOS FRIOS";"139";"522,73";"52,27";"575";"0";"522,73";
"BURGUER Y PIZZA";"32";"344,55";"34,45";"379";"0";"344,55";
"CHUPITOS";"154";"326,64";"32,66";"359,3";"0";"326,64";
"EXTRAS";"463";"318,77";"31,88";"350,65";"0";"318,77";
"COPAS LICOR";"104";"238,73";"23,87";"262,6";"0";"238,73";
"DESAYUNOS";"248";"219,18";"21,92";"241,1";"0";"219,18";
"APERITIVOS";"83";"211,36";"21,14";"232,5";"0";"211,36";
"CUBATAS";"24";"133,18";"13,32";"146,5";"0";"133,18";
"HELADOS";"56";"121,64";"12,16";"133,8";"0";"121,64";
"COPAS HIELO LICOR";"36";"112,27";"11,23";"123,5";"0";"112,27";
